MIS_ID,treatment_code,inoculation,Extract,Precipitate,precipitate_recovery_percent,precipitate_loss
MIS_184,D2_03,xanthan_high,113.56425075719028,104.29549889692277,91.83831901459477,9.268751860267514
MIS_185,D2_04,xanthan_low,18.96829229790131,15.653185893811909,82.52290531996815,3.315106404089402
MIS_194,D2_03,xanthan_high,102.8832384340702,99.31534144903776,96.53209109730851,3.5678969850324336
MIS_195,D2_04,xanthan_low,15.71798066765496,16.406327782828626,104.37936099889838,-0.6883471151736664
MIS_204,D2_03,xanthan_high,111.39800953922403,107.04482111839768,96.09222064305057,4.353188420826356
MIS_205,D2_04,xanthan_low,24.94540704025419,23.46522704109199,94.06632252272475,1.4801799991621998
MIS_214,D2_03,xanthan_high,69.66027276078992,64.55472364132505,92.67078792958925,5.105549119464868
MIS_215,D2_04,xanthan_low,3.7492236446557152,5.88435993608039,156.94875776397546,-2.1351362914246748
MIS_224,D2_03,xanthan_high,107.59239451516798,92.23372759696456,85.72513699744992,15.358666918203426
MIS_225,D2_04,xanthan_low,14.763282342704407,13.04428936422458,88.35629544584775,1.718992978479827
